"","Gene1","Gene2","corA","corA_pVal","corB","corB_pVal","zScoreDiff","pValDiff","pValDiff_adj","Classes"
"1","KIF20A","TACC3",0.925556791919736,0,0.595123263501937,4.21356283197838e-11,-5.23345449423588,1.66370979739005e-07,0.00546739789316261,"+/+"
"2","CCNA2","TACC3",0.897532567281572,0,0.490816226629042,1.63057598090433e-07,-5.12967677623468,2.90240100499674e-07,0.00546739789316261,"+/+"
"3","FAM83D","TACC3",0.880720667305738,0,0.451916471472718,1.86186444794956e-06,-4.9606866556326,7.02444256206565e-07,0.00865922116667133,"+/+"
"4","PLK1","TACC3",0.879151416374614,2.22044604925031e-16,0.460954450319083,1.08574489421365e-06,-4.85851487861453,1.18269522628925e-06,0.00865922116667133,"+/+"
"5","SPC25","TACC3",0.854770348589474,1.06581410364015e-14,0.381125897622533,7.75056505586402e-05,-4.85143812899327,1.22569447251262e-06,0.00865922116667133,"+/+"
"6","NCAPG","TACC3",0.901395138790904,0,0.5490051235094,2.30743180118509e-09,-4.79821677430439,1.60084471320251e-06,0.00865922116667133,"+/+"
"7","TACC3","TPX2",0.921381455818755,0,0.626492292794362,1.88427051739382e-12,-4.79721363049693,1.60887984516786e-06,0.00865922116667133,"+/+"
"8","CENPA","TACC3",0.885319415693679,0,0.503241941131608,7.01451181583934e-08,-4.70676144371011,2.51683142331067e-06,0.0118527029841537,"+/+"
"9","GTSE1","TACC3",0.883647522487028,0,0.505358574801127,6.05523027275012e-08,-4.64825406274568,3.34756440041358e-06,0.0140132765317313,"+/+"
"10","FAM83D","KIF20A",0.931091614642859,0,0.685761173331298,1.77635683940025e-15,-4.59779369360244,4.26988486432013e-06,0.0141362843563605,"+/+"
"11","DLGAP5","TACC3",0.87941831413193,2.22044604925031e-16,0.501052014622327,8.15872187587274e-08,-4.57478555169974,4.76708018513753e-06,0.0141362843563605,"+/+"
"12","KIF2C","TACC3",0.914598573629946,0,0.625514410749574,2.08699724169037e-12,-4.56617428069857,4.96705856335345e-06,0.0141362843563605,"+/+"
"13","CDC20","TACC3",0.897401177896491,0,0.564359356363562,6.51418474717502e-10,-4.55818100904628,5.15985591856743e-06,0.0141362843563605,"+/+"
"14","CENPE","TACC3",0.896790854002413,0,0.565739676252647,5.79559511493244e-10,-4.52951309721064,5.91197696640797e-06,0.0141362843563605,"+/+"
"15","LOC100128191","TCF19",0.888165039138246,0,0.536511539016359,6.16653128560074e-09,-4.5271668276856,5.9779746010346e-06,0.0141362843563605,"+/+"
"16","CCNB1","TACC3",0.838870737480215,9.76996261670138e-14,0.383014522840289,7.091228817524e-05,-4.52626724864101,6.00346515465876e-06,0.0141362843563605,"+/+"
"17","CCNF","TACC3",0.868745394499452,1.33226762955019e-15,0.485999587655459,2.24125307646261e-07,-4.43376880207119,9.25999269486551e-06,0.0205217779281799,"+/+"
"18","CKAP2L","TACC3",0.879009530450672,2.22044604925031e-16,0.531014129099473,9.38529698402135e-09,-4.33757312995034,1.44064607631537e-05,0.0275544416490922,"+/+"
"19","KIF4A","TACC3",0.888785098234484,0,0.563389879253464,7.06925629145871e-10,-4.32916951948846,1.4967269227306e-05,0.0275544416490922,"+/+"
"20","ASF1B","TCF19",0.918866564954336,0,0.666324999109665,2.1316282072803e-14,-4.32508913855607,1.52470196157613e-05,0.0275544416490922,"+/+"
"21","CDK1","TACC3",0.831914755316133,2.38919994899334e-13,0.395207438632567,3.94188975612053e-05,-4.3182657533595,1.57260007617912e-05,0.0275544416490922,"+/+"
"22","BUB1","TACC3",0.88351458991455,0,0.548584604443213,2.38662489771002e-09,-4.31183364204781,1.61906233646406e-05,0.0275544416490922,"+/+"
"23","MELK","TACC3",0.886211766096622,0,0.558261488046036,1.08478936944323e-09,-4.30337526660474,1.68215569456966e-05,0.0275544416490922,"+/+"
"24","CCNB2","TACC3",0.861748590438737,3.77475828372553e-15,0.487017058719792,2.09644841708823e-07,-4.27148772108737,1.94173220594323e-05,0.0304811503578797,"+/+"
"25","KIF11","TACC3",0.871918353768153,8.88178419700125e-16,0.520451336309364,2.06031451899236e-08,-4.2498543857327,2.13909528794616e-05,0.0308986882677038,"+/+"
"26","CDCA5","TACC3",0.904173137644858,0,0.624256737103319,2.37876385256186e-12,-4.24214136514295,2.21397157375602e-05,0.0308986882677038,"+/+"
"27","CDT1","TCF19",0.90178251150136,0,0.616294640039007,5.37392352839561e-12,-4.24210080678827,2.21437182011414e-05,0.0308986882677038,"+/+"
"28","FAM72D","SOX11",0.112292198836815,0.447324004636866,0.702339933887165,2.22044604925031e-16,4.2224255630949,2.41687229403449e-05,0.0317809062642587,"0/+"
"29","AURKB","TACC3",0.850611496386081,1.95399252334028e-14,0.46189331558611,1.02567616067084e-06,-4.21969713582805,2.44630731695687e-05,0.0317809062642587,"+/+"
"30","REEP5","SPSB4",0.0947531770878243,0.52177694086982,-0.577138287527769,2.16187956425529e-10,-4.18940673592188,2.79684700733471e-05,0.0351237370004451,"0/-"
"31","CDCA3","TACC3",0.842015245614399,6.43929354282591e-14,0.443357811456251,3.059492526436e-06,-4.18082286725774,2.90456068447648e-05,0.0352997818669843,"+/+"
"32","RRM2","TACC3",0.853221786385703,1.33226762955019e-14,0.477921427045655,3.77997122491536e-07,-4.158219034795,3.20738411089406e-05,0.0377619363681043,"+/+"
